dat_name,set_count,total_uses
8258 - ls70.dat,1,491
8272 - ls40.dat,2,10
8272 - ls41.dat,2,274
8273 - ls50.dat,1,4
8273 - ls51.dat,1,28
8273 - ls60.dat,2,6648
8274 - ls02.dat,1,9
8274 - ls50.dat,2,10
8274 - ls51.dat,2,287
8275 - ls70.dat,1,1630
8527 - ldcev3wireseg.dat,1,1173
8527 - ldcnxtwireseg.dat,4,2436
854 - sticker.dat,1,1
86501s01.dat,2,2
86501s02.dat,2,2
86501s03.dat,2,4
86501s04.dat,2,2
8830 - 4864apx3.dat,2,4
8841 - ls40a.dat,2,12
8841 - ls41a.dat,2,14
8841 - ls50.dat,3,12
8841 - ls51.dat,3,1000
8841 - x993.dat,1,2223
8855 - x993.dat,1,299
8868-1 - myrubbercyl.dat,1,279
920 - rocket launch pad - ls22.dat,1,6
920 - rocket launch pad - ls23.dat,1,324
9390 - ls60.dat,1,390
9391 - ls60.dat,1,681
9394 - ls40.dat,2,8
9394 - ls41.dat,2,127
9394 - ls50.dat,2,8
9394 - ls51.dat,2,94
9395 - ls60.dat,1,574
9396 - ls60.dat,1,459
9397 - ls70.dat,1,203
faxle1.dat,7,104
faxle2.dat,2,4
faxle3.dat,2,4
faxle4.dat,2,4
faxle5.dat,2,4
