part_id,dat_name,set_id,set_number,set_name,quantity
003432f,003432f.dat,659,10156-1,LEGO Truck,1
003432f,003432f.dat,580,2148-1,LEGO Truck,1
003432f,003432f.dat,1343,4549-1,Container Double Stack,2
004318b,004318b.dat,1174,604-1,Shell Service Car,2
004324b,004324b.dat,969,6600-1,Police Patrol,2
004486a,004486a.dat,993,367-1,Moon Landing,3
004488a,004488a.dat,1170,364-1,Harbour Scene,2
004488b,004488b.dat,1170,364-1,Harbour Scene,1
004488c,004488c.dat,1170,364-1,Harbour Scene,3
004488d,004488d.dat,1170,364-1,Harbour Scene,2
004488e,004488e.dat,1170,364-1,Harbour Scene,1
004488g,004488g.dat,1170,364-1,Harbour Scene,2
004490a,004490a.dat,974,365-1,Wild West Scene,1
004490b,004490b.dat,974,365-1,Wild West Scene,1
004490c,004490c.dat,974,365-1,Wild West Scene,1
004490d,004490d.dat,974,365-1,Wild West Scene,1
004490e,004490e.dat,974,365-1,Wild West Scene,1
004490f,004490f.dat,974,365-1,Wild West Scene,1
004490g,004490g.dat,974,365-1,Wild West Scene,1
004490h,004490h.dat,974,365-1,Wild West Scene,2
004490i,004490i.dat,974,365-1,Wild West Scene,2
004511b,004511b.dat,1175,606-1,Ambulance,2
004511b,004511b.dat,1179,623-1,Medic's Car,4
004589a,004589a.dat,1291,148-1,Central Station,2
004589b,004589b.dat,1291,148-1,Central Station,5
004589c,004589c.dat,1291,148-1,Central Station,1
004589d,004589d.dat,1291,148-1,Central Station,1
004589e,004589e.dat,1291,148-1,Central Station,2
004589e,004589e.dat,1388,165-1,Cargo Station,2
004589f,004589f.dat,1291,148-1,Central Station,2
004589f,004589f.dat,1388,165-1,Cargo Station,2
004589g,004589g.dat,1291,148-1,Central Station,1
004589h,004589h.dat,1291,148-1,Central Station,1
004589i,004589i.dat,1291,148-1,Central Station,1
004589j,004589j.dat,1291,148-1,Central Station,2
004659a,004659a.dat,573,1656-1,Evacuation Team,1
004659a,004659a.dat,1171,374-1,Fire Station,4
004659a,004659a.dat,1176,620-1,Fireman's Car,2
004659a,004659a.dat,688,6685-1,Fire Copter 1,2
004659a,004659a.dat,968,6690-1,Snorkel Pumper,4
004677a,004677a.dat,703,396-1,Thatcher Perkins Locomotive,2
004677b,004677b.dat,703,396-1,Thatcher Perkins Locomotive,2
004695a,004695a.dat,648,7813-1,Shell Tanker Wagon,4
004695b,004695b.dat,1172,377-1,Shell Service Station,3
004695b,004695b.dat,599,6378-1,Shell Service Station,3
004695b,004695b.dat,650,7816-1,Shell Tanker Wagon,2
004695d,004695d.dat,1172,377-1,Shell Service Station,2
004695d,004695d.dat,650,7816-1,Shell Tanker Wagon,2
004695e,004695e.dat,1172,377-1,Shell Service Station,1
004757b,004757b.dat,1098,164-1,Passenger Wagon,2
004757c,004757c.dat,1098,164-1,Passenger Wagon,2
004757e,004757e.dat,1098,164-1,Passenger Wagon,2
004757e,004757e.dat,1098,164-1,Passenger Wagon,4
004760a,004760a.dat,1388,165-1,Cargo Station,1
004760b,004760b.dat,1388,165-1,Cargo Station,12
1,1.dat,900,261-1,Bathroom,2
1,1.dat,1022,262-2,Complete Children's Room Set,3
1-4cyli,1-4cyli.dat,698,112-2,Locomotive with Motor,7
1-4disc,1-4disc.dat,698,112-2,Locomotive with Motor,14
1-4edge,1-4edge.dat,698,112-2,Locomotive with Motor,14
10039,10039.dat,936,30190-1,Ferrari 150° Italia,1
10039,10039.dat,834,30191-1,Scuderia Ferrari Truck,1
10039,10039.dat,835,30192-1,F40,1
10039,10039.dat,836,30193-1,250 GT Berlinetta,1
10039,10039.dat,837,30194-1,458 Italia,1
10039,10039.dat,838,30195-1,FXX,1
10039,10039.dat,1087,40190-1,F138,1
10039,10039.dat,1088,40191-1,F12berlinetta,1
10039,10039.dat,1089,40192-1,250 GTO,1
10039,10039.dat,1090,40193-1,512 S,1
10048,10048.dat,31,30210-1,Frodo with Cooking Corner,1
10048,10048.dat,27,9469-1,Gandalf Arrives,1
10048,10048.dat,28,9470-1,Shelob Attacks,2
10049,10049.dat,29,9471-1,Uruk-hai Army,2
10049p01,10049p01.dat,30,9476-1,The Orc Forge,2
10050,10050.dat,29,9471-1,Uruk-hai Army,2
10050,10050.dat,30,9476-1,The Orc Forge,3
10051,10051.dat,29,9471-1,Uruk-hai Army,2
10051p01,10051p01.dat,30,9476-1,The Orc Forge,2
10052,10052.dat,1201,71200-1,Starter Pack Parts,1
10052,10052.dat,27,9469-1,Gandalf Arrives,1
10053,10053.dat,28,9470-1,Shelob Attacks,2
10054,10054.dat,29,9471-1,Uruk-hai Army,1
10054p01,10054p01.dat,29,9471-1,Uruk-hai Army,1
10057pm0,10057pm0.dat,28,9470-1,Shelob Attacks,1
10058,10058.dat,28,9470-1,Shelob Attacks,2
10066p01,10066p01.dat,30,9476-1,The Orc Forge,1
10113,10113.dat,1201,71200-1,Starter Pack Parts,1
10169,10169.dat,1120,10270-1,Bookshop,1
10169,10169.dat,1286,21318-1,Tree House,1
10169,10169.dat,1286,21318-1,Tree House,1
10169,10169.dat,1289,21325-1,Medieval Blacksmith,1
10169,10169.dat,553,40274-1,Mr & Mrs Claus,1
10170,10170.dat,1375,10267-1,Gingerbread House,1
10172,10172.dat,1002,10246-1,Detective’s Office,1
10172,10172.dat,1216,75954-1,Hogwarts Great Hall,1
10173,10173.dat,876,30201-1,Ghost,1
10187,10187.dat,1464,10359-1,Fountain Garden,65
10187,10187.dat,484,17101-1,Creative Toolbox,2
10187,10187.dat,1240,40352-1,Scarecrow,2
10187,10187.dat,1249,40436-1,Lucky Cat,2
10187,10187.dat,1251,40441-1,Shorthair Cat and Kitten,4
10197,10197.dat,1373,10269-1,Harley-Davidson Fat Boy,1
10197,10197.dat,1382,10280-1,Flower Bouquet,2
10197,10197.dat,910,21039-1,Shanghai,1
10197,10197.dat,1229,4002020-1,Celebrating 40 Years of Hands-on Learning,3
10197,10197.dat,893,42006-1,Excavator,2
10197,10197.dat,1191,42029-1,Customized Pick up Truck,8
10197,10197.dat,42,42031-1,Cherry Picker,4
10197,10197.dat,42,42031-1,Cherry Picker,3
10197,10197.dat,47,42036-1,Street Motorcycle,2
10197,10197.dat,49,42038-1,Arctic Truck,2
10197,10197.dat,51,42040-1,Fire Plane,3
10197,10197.dat,53,42043-1,Mercedes-Benz Arocs 3245,2
10197,10197.dat,53,42043-1,Mercedes-Benz Arocs 3245,2
10197,10197.dat,55,42048-1,Race Kart,2
10197,10197.dat,301,42053-1,Volvo EW160E,9
10197,10197.dat,300,42054-1,CLAAS XERION 5000 TRAC VC,7
10197,10197.dat,302,42055-1,Bucket Wheel Excavator,1
10197,10197.dat,336,42058-1,Stunt Bike,2
10197,10197.dat,346,42059-1,Stunt Truck,2
10197,10197.dat,352,42062-1,Container Yard,3
10197,10197.dat,347,42063-1,BMW R 1200 GS Adventure,6
10197,10197.dat,349,42065-1,RC Tracked Racer,2
10197,10197.dat,350,42066-1,Air Race Jet,2
10197,10197.dat,513,42068-1,Airport Rescue Vehicle,4
10197,10197.dat,514,42069-1,Extreme Adventure,4
10197,10197.dat,533,42072-1,WHACK!,2
10197,10197.dat,530,42074-1,Racing Yacht,5
10197,10197.dat,535,42075-1,First Responder,3
10197,10197.dat,546,42076-1,Hovercraft,6
10197,10197.dat,531,42078-1,Mack Anthem,4
10197,10197.dat,531,42078-1,Mack Anthem,4
10197,10197.dat,548,42080-1,Forest Machine,3
10197,10197.dat,549,42081-1,Volvo Concept Wheel Loader ZEUX,4
10197,10197.dat,550,42082-1,Rough Terrain Crane,25
10197,10197.dat,551,42083-1,Bugatti Chiron,2
10197,10197.dat,1037,42088-1,Cherry Picker,4
10197,10197.dat,1037,42088-1,Cherry Picker,3
10197,10197.dat,927,42093-1,Chevrolet Corvette ZR1,2
10197,10197.dat,930,42096-1,Porsche 911 RSR,7
10197,10197.dat,1038,42100-1,Liebherr R9800 Excavator,8
10197,10197.dat,1166,42106-1,Stunt Show Truck & Bike,2
10197,10197.dat,1222,42107-1,Ducati Panigale V4 R,1
10197,10197.dat,1200,42111-1,Dom’s Dodge Charger,4
10197,10197.dat,1223,42112-1,Cement Mixer,2
10197,10197.dat,1434,42115-1,Lamborghini Sián FKP 37,8
10197,10197.dat,1435,42120-1,Rescue Hovercraft,8
10197,10197.dat,1361,42122-1,Jeep Wrangler,2
10197,10197.dat,1363,42123-1,McLaren Senna GTR,2
10197,10197.dat,1366,42125-1,"Ferrari 488 GTE ""AF Corse #51""",8
10197,10197.dat,1436,42129-1,4x4 Mercedes-Benz Zetros Trial Truck,7
10197,10197.dat,1297,75893-1,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,9
10201,10201.dat,323,10212-1,Imperial Shuttle,1
10201,10201.dat,81,21019-1,Eiffel Tower,12
10201,10201.dat,85,21023-1,Flatiron Building,12
10202,10202.dat,1374,10226-1,Sopwith Camel,4
10202,10202.dat,319,10227-1,B-wing Starfighter,2
10202,10202.dat,871,10258-1,London Bus,4
10202,10202.dat,1377,10262-1,James Bond Aston Martin DB5,1
10202,10202.dat,1155,10271-1,Fiat 500,1
10202,10202.dat,1148,10272-1,Old Trafford - Manchester United,4
10202,10202.dat,1381,10276-1,Colosseum,28
10202,10202.dat,1288,21323-1,Grand Piano,1
10202,10202.dat,550,42082-1,Rough Terrain Crane,4
10202,10202.dat,1202,76042-1,The SHIELD Helicarrier,2
10202,10202.dat,1094,76139-1,1989 Batmobile,1
10202p00,10202p00.dat,1148,10272-1,Old Trafford - Manchester United,2
10202p01,10202p01.dat,1148,10272-1,Old Trafford - Manchester United,1
10202p02,10202p02.dat,1443,10283-1,NASA Space Shuttle Discovery,1
10202p03,10202p03.dat,1443,10283-1,NASA Space Shuttle Discovery,1
10202p04,10202p04.dat,1446,10278-1,Police Station,1
10202p05,10202p05.dat,1446,10278-1,Police Station,1
10247,10247.dat,321,10240-1,Red Five X-Wing Starfighter,16
10247,10247.dat,1187,10248-1,Ferrari F40,5
10247,10247.dat,872,10261-1,Roller Coaster,2
10247,10247.dat,1377,10262-1,James Bond Aston Martin DB5,2
10247,10247.dat,1001,10264-1,Corner Garage,7
10247,10247.dat,1380,10265-1,Ford Mustang,2
10247,10247.dat,1380,10265-1,Ford Mustang,2
10247,10247.dat,1155,10271-1,Fiat 500,10
10247,10247.dat,1379,10277-1,Crocodile Locomotive,4
10247,10247.dat,1443,10283-1,NASA Space Shuttle Discovery,1
10247,10247.dat,1188,21311-1,Voltron,4
10247,10247.dat,1146,21321-1,International Space Station,2
10247,10247.dat,188,31039-1,Blue Power Jet,2
10247,10247.dat,188,31039-1,Blue Power Jet,2
10247,10247.dat,1315,3187-1,Butterfly Beauty Shop,1
10247,10247.dat,1229,4002020-1,Celebrating 40 Years of Hands-on Learning,1
10247,10247.dat,1227,40413-1,Mini Robots,2
10247,10247.dat,330,42024-1,Container Truck,2
10247,10247.dat,1191,42029-1,Customized Pick up Truck,2
10247,10247.dat,49,42038-1,Arctic Truck,2
10247,10247.dat,300,42054-1,CLAAS XERION 5000 TRAC VC,3
10247,10247.dat,303,42056-1,Porsche 911 GT3 RS,4
10247,10247.dat,515,42070-1,6x6 All Terrain Tow Truck,3
10247,10247.dat,531,42078-1,Mack Anthem,4
10247,10247.dat,550,42082-1,Rough Terrain Crane,3
10247,10247.dat,1039,42110-1,Land Rover Defender,1
10247,10247.dat,1366,42125-1,"Ferrari 488 GTE ""AF Corse #51""",3
10247,10247.dat,738,5972-1,Space Truck Getaway [Container Heist],8
10247,10247.dat,741,5979-1,Max Security Transport,1
10247,10247.dat,742,5980-1,Squidman's Pitstop,1
10247,10247.dat,745,5983-1,SP Undercover Cruiser,4
10247,10247.dat,746,5984-1,Lunar Limo,4
10247,10247.dat,366,60067-1,Helicopter Pursuit,1
10247,10247.dat,367,60083-1,Snowplow Truck,1
10247,10247.dat,1115,60216-1,Downtown Fire Brigade,2
10247,10247.dat,941,70816-1,"Benny's Spaceship, Spaceship, SPACESHIP!",2
10247,10247.dat,890,71006-1,The Simpsons House,2
10247,10247.dat,895,75053-1,The Ghost,2
10247,10247.dat,1000,75060-1,Slave I,12
10247,10247.dat,482,75144-1,Snowspeeder,2
10247,10247.dat,1093,75181-1,Y-Wing Starfighter,4
10247,10247.dat,1212,75276-1,Stormtrooper,3
10247,10247.dat,1211,75277-1,Boba Fett,4
10247,10247.dat,1297,75893-1,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,2
10247,10247.dat,1218,75969-1,Hogwarts Astronomy Tower,2
10247,10247.dat,1202,76042-1,The SHIELD Helicarrier,4
10247,10247.dat,1094,76139-1,1989 Batmobile,4
10247,10247.dat,1119,76897-1,1985 Audi Sport quattro S1,1
10247,10247.dat,334,8049-1,Tractor with Log Loader,2
10247,10247.dat,846,8400-1,Space Speeder,1
10288,10288.dat,1147,40335-1,Space Rocket Ride,1
10288,10288.dat,475,41075-1,The Elves' Treetop Hideaway,1
10288,10288.dat,1215,75953-1,Hogwarts Whomping Willow,4
10314,10314.dat,871,10258-1,London Bus,2
10314,10314.dat,1377,10262-1,James Bond Aston Martin DB5,4
10314,10314.dat,1001,10264-1,Corner Garage,1
10314,10314.dat,1444,10294-1,Titanic,32
10314,10314.dat,1384,10295-1,Porsche 911 Turbo & 911 Targa,6
10314,10314.dat,1384,10295-1,Porsche 911 Turbo & 911 Targa,4
10314,10314.dat,1447,10297-1,Boutique Hotel,2
10314,10314.dat,1226,76161-1,1989 Batwing,2
10350p01c01,10350p01c01.dat,29,9471-1,Uruk-hai Army,1
10352c01,10352c01.dat,29,9471-1,Uruk-hai Army,1
10354c01,10354c01.dat,29,9471-1,Uruk-hai Army,1
104,104.dat,508,5571-1,Giant Truck,2
10509p01,10509p01.dat,27,9469-1,Gandalf Arrives,1
10509p02,10509p02.dat,1289,21325-1,Medieval Blacksmith,1
108,108.dat,329,8851-1,Excavator,1
10830p01,10830p01.dat,1199,10224-1,Town Hall,1
10830p01,10830p01.dat,1002,10246-1,Detective’s Office,1
10884,10884.dat,1447,10297-1,Boutique Hotel,5
10928,10928.dat,1371,10253-1,Big Ben,2
10928,10928.dat,872,10261-1,Roller Coaster,1
10928,10928.dat,1380,10265-1,Ford Mustang,1
10928,10928.dat,1375,10267-1,Gingerbread House,2
10928,10928.dat,1373,10269-1,Harley-Davidson Fat Boy,2
10928,10928.dat,1444,10294-1,Titanic,3
10928,10928.dat,1384,10295-1,Porsche 911 Turbo & 911 Targa,1
10928,10928.dat,1384,10295-1,Porsche 911 Turbo & 911 Targa,1
10928,10928.dat,484,17101-1,Creative Toolbox,1
10928,10928.dat,1288,21323-1,Grand Piano,1
10928,10928.dat,257,31037-1,Adventure Vehicles,1
10928,10928.dat,257,31037-1,Adventure Vehicles,1
10928,10928.dat,1169,31049-1,Twin Spin Helicopter,2
10928,10928.dat,1169,31049-1,Twin Spin Helicopter,2
10928,10928.dat,317,42004-1,Mini Backhoe Loader,2
10928,10928.dat,317,42004-1,Mini Backhoe Loader,2
10928,10928.dat,331,42022-1,Hot Rod,2
10928,10928.dat,333,42023-1,Construction Crew,1
10928,10928.dat,333,42023-1,Construction Crew,2
10928,10928.dat,330,42024-1,Container Truck,1
10928,10928.dat,1191,42029-1,Customized Pick up Truck,2
10928,10928.dat,46,42035-1,Mining Truck,1
10928,10928.dat,47,42036-1,Street Motorcycle,1
10928,10928.dat,49,42038-1,Arctic Truck,2
10928,10928.dat,50,42039-1,24 Hours Race Car,3
10928,10928.dat,52,42042-1,Crawler Crane,6
10928,10928.dat,52,42042-1,Crawler Crane,6
10928,10928.dat,53,42043-1,Mercedes-Benz Arocs 3245,4
10928,10928.dat,53,42043-1,Mercedes-Benz Arocs 3245,4
10928,10928.dat,2,42045-1,Hydroplane Racer,1
10928,10928.dat,55,42048-1,Race Kart,1
10928,10928.dat,107,42052-1,Heavy Lift Helicopter,3
10928,10928.dat,300,42054-1,CLAAS XERION 5000 TRAC VC,7
10928,10928.dat,302,42055-1,Bucket Wheel Excavator,5
10928,10928.dat,303,42056-1,Porsche 911 GT3 RS,5
10928,10928.dat,351,42061-1,Telehandler,1
10928,10928.dat,348,42064-1,Ocean Explorer,1
10928,10928.dat,350,42066-1,Air Race Jet,3
10928,10928.dat,513,42068-1,Airport Rescue Vehicle,3
10928,10928.dat,515,42070-1,6x6 All Terrain Tow Truck,10
10928,10928.dat,530,42074-1,Racing Yacht,1
10928,10928.dat,546,42076-1,Hovercraft,2
10928,10928.dat,531,42078-1,Mack Anthem,1
10928,10928.dat,531,42078-1,Mack Anthem,1
10928,10928.dat,547,42079-1,Heavy Duty Forklift,2
10928,10928.dat,550,42082-1,Rough Terrain Crane,10
10928,10928.dat,551,42083-1,Bugatti Chiron,4
10928,10928.dat,532,42084-1,Hook Loader,4
10928,10928.dat,927,42093-1,Chevrolet Corvette ZR1,1
10928,10928.dat,1038,42100-1,Liebherr R9800 Excavator,2
10928,10928.dat,1039,42110-1,Land Rover Defender,3
10928,10928.dat,1224,42113-1,Bell Boeing V-22 Osprey,12
10928,10928.dat,1225,42114-1,6x6 Volvo Articulated Hauler,7
10928,10928.dat,1434,42115-1,Lamborghini Sián FKP 37,3
10928,10928.dat,1362,42121-1,Heavy-Duty Excavator,6
10928,10928.dat,1362,42121-1,Heavy-Duty Excavator,6
10928,10928.dat,1366,42125-1,"Ferrari 488 GTE ""AF Corse #51""",2
10928,10928.dat,1436,42129-1,4x4 Mercedes-Benz Zetros Trial Truck,1
10928,10928.dat,366,60067-1,Helicopter Pursuit,2
10928,10928.dat,1000,75060-1,Slave I,2
10928,10928.dat,482,75144-1,Snowspeeder,4
10928,10928.dat,1093,75181-1,Y-Wing Starfighter,1
10928,10928.dat,1116,75253-1,Droid Commander,4
10928,10928.dat,1217,75948-1,Hogwarts Clock Tower,2
10928,10928.dat,1094,76139-1,1989 Batmobile,2
10928,10928.dat,766,8020-1,Universal Building Set,2
10928,10928.dat,766,8020-1,Universal Building Set,3
10928,10928.dat,766,8020-1,Universal Building Set,3
10928,10928.dat,766,8020-1,Universal Building Set,2
10928,10928.dat,766,8020-1,Universal Building Set,3
10928,10928.dat,766,8020-1,Universal Building Set,2
10928,10928.dat,334,8049-1,Tractor with Log Loader,2
10a,10a.dat,1022,262-2,Complete Children's Room Set,1
10b,10b.dat,32,3676-1,Catherine Cat's Fun Park,1
10b,10b.dat,505,3683-1,Amusement Park,1
10p03,10p03.dat,901,358-1,Rocket Base,1
10p04,10p04.dat,1023,345-1,House with Mini Wheel Car,1
10p07,10p07.dat,1024,346-2,House with Car,1
11002,11002.dat,1087,40190-1,F138,1
11002,11002.dat,1088,40191-1,F12berlinetta,1
11002,11002.dat,1089,40192-1,250 GTO,1
11002,11002.dat,1090,40193-1,512 S,1
11010,11010.dat,487,10243-1,Parisian Restaurant,1
11010,11010.dat,28,9470-1,Shelob Attacks,1
11055,11055.dat,1446,10278-1,Police Station,1
11055,11055.dat,1436,42129-1,4x4 Mercedes-Benz Zetros Trial Truck,8
11062,11062.dat,1002,10246-1,Detective’s Office,1
11062,11062.dat,1120,10270-1,Bookshop,1
11062,11062.dat,1446,10278-1,Police Station,1
11062,11062.dat,1447,10297-1,Boutique Hotel,1
11062,11062.dat,1287,21319-1,Central Perk,3
11089,11089.dat,355,70127-1,Wolf Legend Beast,1
11090,11090.dat,321,10240-1,Red Five X-Wing Starfighter,2
11090,11090.dat,1376,10241-1,Maersk Line Triple-E,7
11090,11090.dat,1192,10242-1,MINI Cooper,1
11090,11090.dat,1002,10246-1,Detective’s Office,1
11090,11090.dat,309,10252-1,Volkswagen Beetle,4
11090,11090.dat,872,10261-1,Roller Coaster,1
11090,11090.dat,1001,10264-1,Corner Garage,3
11090,11090.dat,1120,10270-1,Bookshop,6
11090,11090.dat,1148,10272-1,Old Trafford - Manchester United,44
11090,11090.dat,1379,10277-1,Crocodile Locomotive,32
11090,11090.dat,1446,10278-1,Police Station,6
11090,11090.dat,1382,10280-1,Flower Bouquet,4
11090,11090.dat,1443,10283-1,NASA Space Shuttle Discovery,2
11090,11090.dat,1444,10294-1,Titanic,14
11090,11090.dat,1447,10297-1,Boutique Hotel,4
11090,11090.dat,467,21032-1,Sydney,2
11090,11090.dat,910,21039-1,Shanghai,3
11090,11090.dat,913,21042-1,Statue of Liberty,7
11090,11090.dat,915,21047-1,Las Vegas,6
11090,11090.dat,1161,21051-1,Tokyo,8
11090,11090.dat,1162,21052-1,Dubai,16
11090,11090.dat,1286,21318-1,Tree House,8
11090,11090.dat,1286,21318-1,Tree House,8
11090,11090.dat,1287,21319-1,Central Perk,1
11090,11090.dat,1146,21321-1,International Space Station,3
11090,11090.dat,1289,21325-1,Medieval Blacksmith,2
11090,11090.dat,259,31028-1,Sea Plane,2
11090,11090.dat,259,31028-1,Sea Plane,1
11090,11090.dat,1138,31048-1,Lakeside Lodge,4
11090,11090.dat,1139,31088-1,Deep Sea Creatures,6
11090,11090.dat,1139,31088-1,Deep Sea Creatures,1
11090,11090.dat,1139,31088-1,Deep Sea Creatures,6
11090,11090.dat,1092,40195-1,Shell Station,1
11090,11090.dat,359,41073-1,Naida's Epic Adventure Ship,1
11090,11090.dat,476,41181-1,Naida's Gondola & the Goblin Thief,1
11090,11090.dat,949,41498-1,Boba Fett & Han Solo in Carbonite,1
11090,11090.dat,300,42054-1,CLAAS XERION 5000 TRAC VC,1
11090,11090.dat,550,42082-1,Rough Terrain Crane,1
11090,11090.dat,928,42094-1,Tracked Loader,1
11090,11090.dat,362,60065-1,ATV Patrol,1
11090,11090.dat,355,70127-1,Wolf Legend Beast,1
11090,11090.dat,897,75055-1,Imperial Star Destroyer,16
11090,11090.dat,1093,75181-1,Y-Wing Starfighter,22
11090,11090.dat,1297,75893-1,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,2
11090,11090.dat,1218,75969-1,Hogwarts Astronomy Tower,6
11090,11090.dat,1226,76161-1,1989 Batwing,1
11090,11090.dat,1119,76897-1,1985 Audi Sport quattro S1,1
11091,11091.dat,359,41073-1,Naida's Epic Adventure Ship,2
11097,11097.dat,1289,21325-1,Medieval Blacksmith,2
11097,11097.dat,355,70127-1,Wolf Legend Beast,1
11100,11100.dat,304,10251-1,Brick Bank,2
11100,11100.dat,484,17101-1,Creative Toolbox,2
11100,11100.dat,356,41071-1,Aira's Creative Workshop,2
11153,11153.dat,323,10212-1,Imperial Shuttle,2
11153,11153.dat,309,10252-1,Volkswagen Beetle,10
11153,11153.dat,333,42023-1,Construction Crew,4
11170p01,11170p01.dat,1232,10918-1,Tow Truck,1
11187a,11187a.dat,1002,10246-1,Detective’s Office,8
112,112.dat,1419,10020-1,Santa Fe Super Chief,2
112,112.dat,1422,10133-1,Burlington Northern Santa Fe Locomotive,2
112,112.dat,508,5571-1,Giant Truck,2
11202p02c01,11202p02c01.dat,324,41092-1,Stephanie's Pizzeria,1
11202p04c01,11202p04c01.dat,475,41075-1,The Elves' Treetop Hideaway,1
11203,11203.dat,1378,10233-1,Horizon Express,3
11203,11203.dat,487,10243-1,Parisian Restaurant,6
11203,11203.dat,1377,10262-1,James Bond Aston Martin DB5,4
11203,11203.dat,1380,10265-1,Ford Mustang,6
11203,11203.dat,1380,10265-1,Ford Mustang,6
11203,11203.dat,1155,10271-1,Fiat 500,8
11203,11203.dat,1443,10283-1,NASA Space Shuttle Discovery,11
11203,11203.dat,1444,10294-1,Titanic,2
11203,11203.dat,1447,10297-1,Boutique Hotel,2
11203,11203.dat,1464,10359-1,Fountain Garden,2
11203,11203.dat,484,17101-1,Creative Toolbox,2
11203,11203.dat,206,21027-1,Berlin,1
11203,11203.dat,88,21031-1,Burj Khalifa,2
11203,11203.dat,468,21035-1,Solomon R. Guggenheim Museum,4
11203,11203.dat,910,21039-1,Shanghai,2
11203,11203.dat,913,21042-1,Statue of Liberty,1
11203,11203.dat,1162,21052-1,Dubai,10
11203,11203.dat,940,21303-1,WALL•E [Original Version],1
11203,11203.dat,1188,21311-1,Voltron,13
11203,11203.dat,1188,21311-1,Voltron,13
11203,11203.dat,1286,21318-1,Tree House,6
11203,11203.dat,1286,21318-1,Tree House,6
11203,11203.dat,1288,21323-1,Grand Piano,69
11203,11203.dat,1249,40436-1,Lucky Cat,1
11203,11203.dat,359,41073-1,Naida's Epic Adventure Ship,1
11203,11203.dat,324,41092-1,Stephanie's Pizzeria,2
11203,11203.dat,949,41498-1,Boba Fett & Han Solo in Carbonite,4
11203,11203.dat,1115,60216-1,Downtown Fire Brigade,6
11203,11203.dat,942,70814-1,Emmet's Construct-o-Mech,4
11203,11203.dat,890,71006-1,The Simpsons House,1
11203,11203.dat,343,75010-1,B-wing Starfighter & Planet Endor,1
11203,11203.dat,894,75050-1,B-Wing,1
11203,11203.dat,897,75055-1,Imperial Star Destroyer,4
11203,11203.dat,1000,75060-1,Slave I,2
11203,11203.dat,482,75144-1,Snowspeeder,22
11203,11203.dat,1093,75181-1,Y-Wing Starfighter,4
11203,11203.dat,1211,75277-1,Boba Fett,1
11203,11203.dat,1094,76139-1,1989 Batmobile,3
11203,11203.dat,1226,76161-1,1989 Batwing,1
11208,11208.dat,467,21032-1,Sydney,1
11208,11208.dat,1161,21051-1,Tokyo,2
11208,11208.dat,260,30283-1,Off-Road,4
11208,11208.dat,1290,40448-1,Vintage Car,4
11208,11208.dat,890,71006-1,The Simpsons House,4
11209,11209.dat,260,30283-1,Off-Road,4
11209,11209.dat,1290,40448-1,Vintage Car,4
11209,11209.dat,890,71006-1,The Simpsons House,4
11211,11211.dat,321,10240-1,Red Five X-Wing Starfighter,6
11211,11211.dat,1376,10241-1,Maersk Line Triple-E,1
11211,11211.dat,487,10243-1,Parisian Restaurant,2
11211,11211.dat,1002,10246-1,Detective’s Office,6
11211,11211.dat,1187,10248-1,Ferrari F40,5
11211,11211.dat,304,10251-1,Brick Bank,4
11211,11211.dat,309,10252-1,Volkswagen Beetle,2
11211,11211.dat,1371,10253-1,Big Ben,6
11211,11211.dat,871,10258-1,London Bus,9
11211,11211.dat,872,10261-1,Roller Coaster,5
11211,11211.dat,1377,10262-1,James Bond Aston Martin DB5,8
11211,11211.dat,1001,10264-1,Corner Garage,6
11211,11211.dat,1380,10265-1,Ford Mustang,4
11211,11211.dat,1380,10265-1,Ford Mustang,4
11211,11211.dat,1375,10267-1,Gingerbread House,8
11211,11211.dat,1120,10270-1,Bookshop,3
11211,11211.dat,1155,10271-1,Fiat 500,4
11211,11211.dat,1148,10272-1,Old Trafford - Manchester United,9
11211,11211.dat,1381,10276-1,Colosseum,26
11211,11211.dat,1446,10278-1,Police Station,21
11211,11211.dat,1443,10283-1,NASA Space Shuttle Discovery,15
11211,11211.dat,1444,10294-1,Titanic,26
11211,11211.dat,1384,10295-1,Porsche 911 Turbo & 911 Targa,7
11211,11211.dat,1384,10295-1,Porsche 911 Turbo & 911 Targa,7
11211,11211.dat,1447,10297-1,Boutique Hotel,24
11211,11211.dat,1445,10298-1,Vespa 125,8
11211,11211.dat,1464,10359-1,Fountain Garden,5
11211,11211.dat,79,21017-1,Imperial Hotel,2
11211,11211.dat,85,21023-1,Flatiron Building,4
11211,11211.dat,87,21026-1,Venice,3
11211,11211.dat,206,21027-1,Berlin,2
11211,11211.dat,258,21028-1,New York City,12
11211,11211.dat,470,21029-1,Buckingham Palace,6
11211,11211.dat,88,21031-1,Burj Khalifa,29
11211,11211.dat,466,21033-1,Chicago,2
11211,11211.dat,465,21034-1,London,4
11211,11211.dat,468,21035-1,Solomon R. Guggenheim Museum,14
11211,11211.dat,911,21036-1,Arc de Triomphe,6
11211,11211.dat,910,21039-1,Shanghai,1
11211,11211.dat,912,21041-1,Great Wall of China,1
11211,11211.dat,913,21042-1,Statue of Liberty,24
11211,11211.dat,914,21043-1,San Francisco,2
